,Rank_MOJO_by_Box_office,Title,Lifetime Gross_MOJO,Max Theaters,Opening Box,Opening Th,Release Date,Distributor,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
12,13,An Inconvenient Truth,"$24,146,161",587,"$281,330",4,"May 24, 2006",Paramount Classics,7.4,75.0,"79,832",1h 36min,30 June 2006 (USA),Davis Guggenheim
13,14,Won't You Be My Neighbor?,"$22,835,787",893,"$475,419",29,"Jun 8, 2018",Focus Features,8.4,85.0,"22,152",1h 35min,29 June 2018 (USA),Morgan Neville
14,15,Bowling for Columbine,"$21,576,018",248,"$209,148",8,"Oct 11, 2002",United Artists,7.9,72.0,"138,833",2h,15 November 2002 (USA),Michael Moore
15,17,They Shall Not Grow Old,"$17,956,913","1,335",-,-,"Dec 17, 2018",Warner Bros.,8.3,91.0,"27,415",1h 39min,1 February 2019 (USA),Peter Jackson
16,18,Bears,"$17,780,194","1,790","$4,776,267","1,720","Apr 18, 2014",Walt Disney Studios Motion Pictures,7.4,68.0,"6,404",1h 18min,18 April 2014 (USA),Alastair Fothergill
17,19,Free Solo,"$17,541,090",483,"$294,288",4,"Sep 28, 2018",National Geographic Entertainment,8.2,83.0,"51,388",1h 40min,13 December 2018 (New Zealand),Jimmy Chin
18,20,Monkey Kingdom,"$16,432,322","2,012","$4,577,861","2,012","Apr 17, 2015",Walt Disney Studios Motion Pictures,7.3,72.0,"3,674",1h 21min,17 April 2015 (USA),Mark Linfield
19,21,A Beautiful Planet,"$15,650,615",155,"$223,983",137,"Apr 29, 2016",IMAX,7.4,75.0,"1,130",46min,29 April 2016 (USA),Toni Myers
20,22,African Cats,"$15,428,747","1,224","$6,003,200","1,220","Apr 22, 2011",Walt Disney Studios Motion Pictures,7.6,61.0,"6,141",1h 29min,22 April 2011 (USA),Keith Scholey
21,23,Madonna: Truth or Dare,"$15,012,935",652,"$543,250",51,"May 10, 1991",Miramax,6.4,,"8,624",2h,24 May 1991 (USA),Alek Keshishian
22,24,To the Arctic 3D,"$14,560,838",52,"$270,228",50,"Apr 20, 2012",Warner Bros.,6.5,,"1,033",40min,20 April 2012 (USA),Greg MacGillivray
23,25,America: Imagine the World Without Her,"$14,444,502","1,105","$38,608",3,"Jun 27, 2014",Lionsgate,5.4,,"6,481",1h 45min,2 July 2014 (USA),Dinesh D'Souza
24,26,Capitalism: A Love Story,"$14,363,397",995,"$231,964",4,"Sep 23, 2009",Overture Films,7.4,61.0,"40,869",2h 7min,2 October 2009 (USA),Michael Moore
25,27,RBG,"$14,017,361",432,"$578,470",34,"May 4, 2018",Magnolia Pictures,7.6,71.0,"11,280",1h 38min,26 July 2018 (Australia),Julie Cohen
26,28,Born in China,"$13,873,211","1,508","$4,790,367","1,508","Apr 21, 2017",Walt Disney Studios Motion Pictures,7.2,,"3,451",1h 19min,21 April 2017 (USA),Chuan Lu
27,29,Hillary's America: The Secret History of the Democratic Party,"$13,099,931","1,217","$74,814",3,"Jul 15, 2016",-,5.3,,"6,666",1h 46min,22 July 2016 (USA),Dinesh D'Souza
28,30,Religulous,"$13,011,160",568,"$3,409,643",502,"Oct 1, 2008",Lionsgate,7.6,,"57,066",1h 41min,3 October 2008 (USA),Larry Charles
29,31,Three Identical Strangers,"$12,320,845",433,"$171,503",5,"Jun 29, 2018",Neon,7.7,81.0,"24,343",1h 36min,30 November 2018 (UK),Tim Wardle
30,32,Super Size Me,"$11,536,423",230,"$516,641",41,"May 7, 2004",IDP Distribution,7.2,73.0,"100,146",1h 40min,11 June 2004 (USA),Morgan Spurlock
31,34,Winged Migration,"$10,764,402",202,"$33,128",1,"Apr 18, 2003",Sony Pictures Classics,7.9,82.0,"11,435",1h 29min,29 August 2003 (USA),Jacques Perrin
32,35,Terror in the Aisles,"$10,004,817","1,134","$4,009,866","1,127","Oct 26, 1984",Universal Pictures,6.5,,"1,747",1h 24min,26 October 1984 (USA),Andrew J. Kuehn
33,36,Amy,"$8,413,144",435,"$222,500",6,"Jul 3, 2015",A24,7.8,85.0,"47,767",2h 8min,3 July 2015 (USA),Asif Kapadia
34,37,Mad Hot Ballroom,"$8,117,961",202,"$45,348",2,"May 13, 2005",Paramount Classics,7.3,71.0,"3,353",1h 45min,1 July 2005 (USA),Marilyn Agrelo
35,38,Jerusalem,"$8,020,721",33,-,-,"Sep 13, 2013",National Geographic Entertainment,7.3,,"1,146",44min,18 September 2013 (USA),Daniel Ferguson
36,39,Hoop Dreams,"$7,830,611",262,"$18,396",3,"Oct 14, 1994",Fine Line Features,8.3,98.0,"24,023",2h 50min,14 October 1994 (USA),Steve James
37,40,Expelled: No Intelligence Allowed,"$7,720,487","1,052","$2,970,848","1,052","Apr 18, 2008",Rocky Mountain Pictures,3.7,,"11,794",1h 30min,18 April 2008 (USA),Nathan Frankowski
38,41,Tupac: Resurrection,"$7,718,961",804,"$4,632,847",801,"Nov 14, 2003",Paramount Pictures,7.9,66.0,"8,928",1h 52min,14 November 2003 (USA),Lauren Lazin
39,42,Penguins,"$7,699,452","1,815","$2,282,593","1,815","Apr 17, 2019",Walt Disney Studios Motion Pictures,7.0,69.0,"1,276",1h 16min,17 April 2019 (USA),Alastair Fothergill
40,46,I Am Not Your Negro,"$7,123,919",320,"$686,378",43,"Feb 3, 2017",Magnolia Pictures,7.9,95.0,"18,686",1h 33min,17 February 2017 (USA),Raoul Peck
41,47,Roger & Me,"$6,706,368",265,"$80,253",4,"Dec 22, 1989",Warner Bros.,7.4,70.0,"25,414",1h 31min,20 December 1989 (USA),Michael Moore
42,48,Waiting for 'Superman',"$6,417,135",330,"$139,033",4,"Sep 24, 2010",Paramount Vantage,7.5,81.0,"10,599",1h 51min,29 October 2010 (USA),Davis Guggenheim
43,49,The Aristocrats,"$6,377,461",234,"$243,796",4,"Jul 29, 2005",THINKFilm,6.4,72.0,"15,909",1h 29min,2 September 2005 (USA),Penn Jillette
44,50,Fahrenheit 11/9,"$6,352,306","1,719","$3,008,563","1,719","Sep 21, 2018",-,7.0,69.0,"16,996",2h 8min,21 September 2018 (USA),Michael Moore
45,51,Justin Bieber's Believe,"$6,206,566","1,037","$2,007,567","1,037","Dec 25, 2013",Open Road Films (II),1.7,,"17,575",1h 32min,25 December 2013 (USA),Jon M. Chu
46,52,Meet the Mormons,"$6,047,363",333,"$2,509,808",317,"Oct 10, 2014",Purdie Distribution,6.9,,"1,931",1h 18min,26 February 2015 (Mexico),Blair Treu
47,53,Death of a Nation,"$5,885,881","1,005","$2,356,522","1,005","Aug 3, 2018",-,4.6,,"6,272",1h 48min,3 August 2018 (USA),Dinesh D'Souza
48,54,Spellbound,"$5,728,581",117,"$17,508",1,"Apr 30, 2003",THINKFilm,7.5,80.0,"11,812",1h 37min,10 October 2003 (UK),Jeffrey Blitz
49,56,Shine a Light,"$5,505,267",277,"$1,488,081",276,"Apr 4, 2008",Paramount Vantage,7.2,76.0,"10,990",2h 2min,4 April 2008 (Austria),Martin Scorsese
50,58,Cave of Forgotten Dreams,"$5,304,920",123,"$139,101",5,"Apr 29, 2011",IFC Films,7.4,86.0,"14,966",1h 30min,31 August 2011 (France),Werner Herzog
51,61,Pavarotti,"$4,600,249",288,"$144,032",19,"Jun 7, 2019",CBS Films,7.5,66.0,"2,439",1h 54min,30 December 2019 (USA),Ron Howard
52,62,Touching the Void,"$4,593,598",137,"$96,973",5,"Jan 23, 2004",IFC Films,8.0,82.0,"33,209",1h 46min,12 March 2004 (USA),Kevin Macdonald
53,63,Amazing Grace,"$4,450,456",263,"$57,353",3,"Dec 7, 2018",Neon,7.5,94.0,"3,366",1h 29min,5 April 2019 (USA),Alan Elliott
54,64,"Food, Inc.","$4,417,674",155,"$60,513",3,"Jun 12, 2009",Magnolia Pictures,7.8,80.0,"49,069",1h 34min,31 July 2009 (USA),Robert Kenner
55,65,The Biggest Little Farm,"$4,366,949",285,"$110,492",5,"May 10, 2019",Neon,8.1,73.0,"4,915",1h 31min,10 May 2019 (USA),John Chester
56,66,Inside Job,"$4,312,735",250,"$39,649",2,"Oct 8, 2010",Sony Pictures Classics,8.2,88.0,"68,530",1h 49min,12 November 2010 (USA),Charles Ferguson
57,67,Linda Ronstadt: The Sound of My Voice,"$4,252,657",247,"$113,235",7,"Sep 6, 2019",Greenwich Entertainment,8.0,77.0,"1,393",1h 35min,6 September 2019 (USA),Rob Epstein
58,69,Burn the Stage: The Movie,"$4,201,819",645,"$2,420,197",629,"Nov 15, 2018",Trafalgar Releasing,8.8,,"2,465",1h 24min,19 January 2019 (USA),Jun-Soo Park
59,70,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,"$4,198,566",261,"$41,449",3,"Dec 19, 2003",Sony Pictures Classics,8.1,87.0,"22,564",1h 47min,5 March 2004 (USA),Errol Morris
60,71,Good Hair,"$4,157,223",466,"$1,039,220",186,"Oct 9, 2009",Roadside Attractions,6.9,72.0,"5,440",1h 36min,23 October 2009 (USA),Jeff Stilson
61,72,Enron: The Smartest Guys in the Room,"$4,071,700",151,"$76,639",3,"Apr 22, 2005",Magnolia Pictures,7.6,,"16,548",1h 50min,20 May 2005 (USA),Alex Gibney
62,73,Buck,"$4,038,912",152,"$67,548",4,"Jun 17, 2011",IFC Films,7.6,76.0,"3,152",1h 28min,16 February 2012 (Australia),Cindy Meehl
63,74,Young@Heart,"$3,992,189",212,"$50,937",4,"Apr 9, 2008",Fox Searchlight Pictures,7.9,75.0,"3,842",1h 47min,23 May 2008 (USA),Stephen Walker
64,75,Bully,"$3,863,446",263,"$535,433",158,"Apr 13, 2012",The Weinstein Company,7.3,74.0,"9,747",1h 38min,27 April 2012 (Iceland),Lee Hirsch
65,76,Where to Invade Next,"$3,827,261",308,"$897,034",308,"Feb 12, 2016",Drafthouse Films,7.5,64.0,"23,251",2h,25 February 2016 (Germany),Michael Moore
66,77,The Real Cancun,"$3,825,421","2,261","$2,300,000","2,261","Apr 25, 2003",New Line Cinema,2.8,,"3,704",1h 36min,25 April 2003 (USA),Rick de Oliveira
67,78,The September Issue,"$3,820,067",143,"$220,633",6,"Aug 28, 2009",Roadside Attractions,7.1,69.0,"7,357",1h 30min,25 September 2009 (USA),R.J. Cutler
68,79,Paris Is Burning,"$3,779,620",91,"$310,127",23,"Aug 9, 1991",Miramax,8.2,82.0,"12,206",1h 11min,August 1991 (USA),Jennie Livingston
69,80,Imagine: John Lennon,"$3,753,977",561,"$1,412,213",561,"Oct 7, 1988",Warner Bros.,7.9,,"4,540",1h 40min,7 October 1988 (USA),Andrew Solt
70,81,Searching for Sugar Man,"$3,696,196",157,"$27,459",3,"Jul 27, 2012",Sony Pictures Classics,8.2,79.0,"62,884",1h 26min,26 July 2012 (UK),Malik Bendjelloul
71,82,Step Into Liquid,"$3,681,803",91,"$135,985",5,"Aug 8, 2003",Artisan Entertainment,7.5,72.0,"2,594",1h 28min,29 August 2003 (USA),Dana Brown
72,83,Pina,"$3,524,826",84,"$68,012",3,"Dec 23, 2011",IFC Films,7.7,83.0,"14,318",1h 43min,24 February 2011 (Germany),Wim Wenders
73,84,Born Into Brothels: Calcutta's Red Light Kids,"$3,515,061",127,"$14,605",1,"Dec 8, 2004",THINKFilm,7.2,78.0,"16,015",1h 25min,11 March 2005 (USA),Zana Briski
74,86,An Inconvenient Sequel: Truth to Power,"$3,496,795",556,"$124,823",4,"Jul 28, 2017",Paramount Pictures,6.4,68.0,"7,519",1h 38min,4 August 2017 (USA),Bonni Cohen
75,87,Echo in the Canyon,"$3,355,324",147,"$117,651",2,"May 24, 2019",Greenwich Entertainment,6.9,69.0,"2,231",1h 22min,7 June 2019 (Canada),Andrew Slater
76,88,Rize,"$3,336,391",352,"$1,574,787",352,"Jun 24, 2005",Lionsgate,7.1,74.0,"3,113",1h 26min,24 June 2005 (USA),David LaChapelle
77,89,Exit Through the Gift Shop,"$3,291,250",46,"$170,756",8,"Apr 16, 2010",-,8.0,85.0,"61,670",1h 27min,14 May 2010 (USA),Banksy
78,90,Catfish,"$3,237,343",143,"$257,285",12,"Sep 17, 2010",Rogue Pictures,7.1,65.0,"40,543",1h 27min,1 October 2010 (USA),Henry Joost
79,91,Grizzly Man,"$3,178,403",105,"$269,131",29,"Aug 12, 2005",Lionsgate,7.8,87.0,"52,179",1h 43min,27 October 2005 (Portugal),Werner Herzog
80,92,The Eagle Huntress,"$3,169,351",122,"$52,574",4,"Nov 2, 2016",Sony Pictures Classics,7.5,72.0,"3,436",1h 27min,16 December 2016 (UK),Otto Bell
81,93,Maiden,"$3,168,978",180,"$46,931",6,"Jun 28, 2019",Sony Pictures Classics,7.7,82.0,"1,634",1h 37min,28 June 2019 (USA),Alex Holmes
82,94,Wordplay,"$3,121,270",154,"$32,847",2,"Jun 16, 2006",IFC Films,7.3,73.0,"3,565",1h 34min,21 July 2006 (USA),Patrick Creadon
83,95,Capturing the Friedmans,"$3,119,113",78,"$65,154",3,"May 30, 2003",Magnolia Pictures,7.7,90.0,"23,736",1h 47min,18 July 2003 (USA),Andrew Jarecki
84,96,The Wild Parrots of Telegraph Hill,"$3,058,527",67,"$36,731",5,"Feb 9, 2005",Shadow Distribution,7.8,80.0,"2,921",1h 23min,27 May 2005 (USA),Judy Irving
85,97,Crumb,"$3,041,083",56,"$19,859",1,"Apr 21, 1995",Sony Pictures Classics,8.0,93.0,"18,236",1h 59min,28 April 1995 (USA),Terry Zwigoff
86,98,Whitney,"$3,026,351",451,"$1,265,572",451,"Jul 6, 2018",Roadside Attractions,7.3,75.0,"6,439",2h,5 July 2018 (UK),Kevin Macdonald
87,100,Man on Wire,"$2,962,242",93,"$51,392",2,"Jul 25, 2008",Magnolia Pictures,7.7,89.0,"52,023",1h 34min,29 August 2008 (USA),James Marsh
88,101,Joan Rivers: A Piece of Work,"$2,930,687",115,"$164,351",7,"Jun 11, 2010",IFC Films,7.4,79.0,"3,573",1h 24min,2 July 2010 (USA),Ricki Stern
89,102,The Beatles: Eight Days a Week - The Touring Years,"$2,930,414",155,"$785,336",85,"Sep 15, 2016",Abramorama,7.8,72.0,"11,054",1h 46min,17 September 2016 (USA),Ron Howard
90,103,Unzipped,"$2,875,086",119,"$71,275",2,"Aug 4, 1995",Miramax,6.5,,"1,041",1h 13min,11 August 1995 (USA),Douglas Keeve
91,104,Kedi,"$2,835,047",130,"$40,103",1,"Feb 10, 2017",Oscilloscope,7.7,78.0,"12,720",1h 19min,10 February 2017 (USA),Ceyda Torun
92,105,Citizenfour,"$2,800,870",105,"$126,321",5,"Oct 24, 2014",RADiUS-TWC,8.0,88.0,"51,546",1h 54min,28 November 2014 (USA),Laura Poitras
93,106,When We Were Kings,"$2,789,985",92,"$12,479",2,"Oct 25, 1996",Gramercy Pictures (I),8.0,83.0,"14,951",1h 28min,14 February 1997 (USA),Leon Gast
94,107,Comedian,"$2,751,988",244,"$60,224",4,"Oct 11, 2002",Miramax,6.9,62.0,"6,474",1h 22min,July 2003 (Norway),Christian Charles
95,108,My Architect,"$2,750,707",39,"$37,929",2,"Nov 12, 2003",New Yorker Films,7.4,81.0,"3,055",1h 56min,12 November 2003 (USA),Nathaniel Kahn
96,110,Samsara,"$2,672,413",70,"$76,222",2,"Aug 24, 2012",Oscilloscope,8.5,65.0,"32,636",1h 42min,23 August 2012 (Germany),Ron Fricke
97,111,He Named Me Malala,"$2,668,936",477,"$61,808",4,"Oct 2, 2015",Fox Searchlight Pictures,6.9,61.0,"4,417",1h 28min,22 October 2015 (Germany),Davis Guggenheim
98,112,Control Room,"$2,589,616",74,"$27,125",1,"May 21, 2004",Magnolia Pictures,7.6,79.0,"5,001",1h 24min,18 June 2004 (USA),Jehane Noujaim
99,113,Is Genesis History?,"$2,570,392",704,-,-,"Feb 23, 2017",Fathom Events,4.2,,"1,462",1h 40min,23 February 2017 (USA),Thomas Purifoy
100,114,Jiro Dreams of Sushi,"$2,552,478",80,"$42,035",2,"Mar 9, 2012",Magnolia Pictures,7.9,77.0,"33,083",1h 21min,15 March 2012 (Denmark),David Gelb
101,116,The Endurance,"$2,453,083",40,"$18,931",3,"Oct 5, 2001",Cowboy Pictures,7.8,85.0,"1,846",1h 37min,21 December 2001 (USA),George Butler
102,117,The Gatekeepers,"$2,415,727",131,"$61,552",3,"Feb 1, 2013",Sony Pictures Classics,7.6,91.0,"5,400",1h 41min,14 March 2013 (Singapore),Dror Moreh
103,118,The Queen of Versailles,"$2,401,999",89,"$51,326",3,"Jul 20, 2012",Magnolia Pictures,7.1,80.0,"12,451",1h 40min,16 August 2014 (Japan),Lauren Greenfield
104,120,Meru,"$2,334,228",176,"$91,279",7,"Aug 14, 2015",Music Box Films,7.7,77.0,"14,634",1h 30min,14 August 2015 (USA),Jimmy Chin
105,123,A Brief History of Time,"$2,279,692",45,"$84,025",5,"Aug 21, 1992",Triton Pictures,7.3,78.0,"5,128",1h 20min,16 October 1992 (Australia),Errol Morris
106,124,Riding Giants,"$2,276,368",64,"$134,400",26,"Jul 9, 2004",Sony Pictures Classics,7.9,80.0,"4,326",1h 45min,13 August 2004 (USA),Stacy Peralta
107,126,The Endless Summer 2,"$2,155,385",302,"$657,292",302,"Jun 3, 1994",New Line Cinema,7.5,,"1,823",1h 49min,3 June 1994 (USA),Bruce Brown
108,127,Blackfish,"$2,073,582",99,"$75,962",5,"Jul 19, 2013",Magnolia Pictures,8.1,83.0,"60,899",1h 23min,26 July 2013 (Ireland),Gabriela Cowperthwaite
109,129,Beyond the Mat,"$2,053,648",298,"$9,532",1,"Oct 22, 1999",Lionsgate,7.6,73.0,"8,103",1h 42min,17 March 2000 (USA),Barry W. Blaustein
110,130,This Is Elvis,"$2,028,612",309,"$429,146",309,"Apr 10, 1981",Warner Bros.,7.5,,"1,149",1h 50min,10 April 1981 (USA),Malcolm Leo
111,131,Pope Francis: A Man of His Word,"$2,008,385",385,"$507,870",346,"May 18, 2018",Focus Features,6.2,63.0,"1,906",1h 36min,14 June 2018 (Germany),Wim Wenders
112,134,The Corporation,"$1,879,983",28,"$28,671",2,"Jun 4, 2004",Zeitgeist Films,8.0,73.0,"20,290",2h 25min,4 June 2004 (USA),Mark Achbar
113,135,Fantastic Fungi,"$1,788,322",37,"$9,419",1,"Sep 20, 2019",Area 23a,7.7,70.0,"1,345",1h 21min,11 October 2019 (USA),Louie Schwartzberg
114,137,Valentino: The Last Emperor,"$1,755,134",38,"$21,762",1,"Mar 18, 2009",Truly Indie,7.2,68.0,"1,731",1h 36min,8 May 2009 (USA),Matt Tyrnauer
115,138,Girl Rising,"$1,727,259",170,"$81,640",34,"Mar 7, 2013",GathrFilms,7.1,,"1,156",1h 41min,1 September 2014 (Netherlands),Richard Robbins
116,139,Every Little Step,"$1,725,141",70,"$68,504",8,"Apr 17, 2009",Sony Pictures Classics,7.5,76.0,"1,420",1h 36min,12 June 2009 (USA),Adam Del Deo
117,140,Koyaanisqatsi,"$1,723,872",-,-,-,"Apr 27, 1983",Island Alive,8.3,72.0,"34,615",1h 26min,24 August 1983 (France),Godfrey Reggio
118,141,Jane,"$1,723,379",96,"$58,348",3,"Oct 20, 2017",Abramorama,7.8,87.0,"4,416",1h 30min,24 November 2017 (Ireland),Brett Morgen
119,144,Who Killed the Electric Car?,"$1,678,874",74,"$45,138",8,"Jun 28, 2006",Sony Pictures Classics,7.6,70.0,"12,074",1h 32min,4 August 2006 (USA),Chris Paine
120,145,Weiner,"$1,676,108",88,"$84,173",5,"May 20, 2016",IFC Films,7.6,84.0,"9,600",1h 36min,26 May 2016 (USA),Josh Kriegman
121,146,Tim's Vermeer,"$1,671,377",129,"$49,777",4,"Jan 31, 2014",Sony Pictures Classics,7.8,76.0,"7,681",1h 20min,17 January 2014 (UK),Teller
122,148,Senna,"$1,612,430",47,"$73,497",2,"Aug 12, 2011",-,8.5,79.0,"62,630",1h 46min,25 May 2011 (France),Asif Kapadia
123,149,It Might Get Loud,"$1,610,163",75,"$92,679",7,"Aug 14, 2009",Sony Pictures Classics,7.6,70.0,"12,260",1h 38min,27 August 2009 (Germany),Davis Guggenheim
124,151,Stories We Tell,"$1,600,145",70,"$27,053",2,"May 10, 2013",Roadside Attractions,7.5,91.0,"12,142",1h 48min,17 January 2013 (Greece),Sarah Polley
125,152,I Am,"$1,591,034",74,"$10,092",1,"Feb 18, 2011",Paladin,7.5,,"3,435",1h 18min,February 2011 (USA),Tom Shadyac
126,153,Western Stars,"$1,581,681",553,"$560,282",345,"Oct 25, 2019",Warner Bros.,7.5,80.0,"1,318",1h 23min,25 October 2019 (USA),Bruce Springsteen
127,156,Awake: The Life of Yogananda,"$1,539,680",21,"$18,885",1,"Oct 10, 2014",-,7.3,,"1,106",1h 27min,10 October 2014 (USA),Paola di Florio
128,157,Fed Up,"$1,538,899",104,"$126,028",18,"May 9, 2014",RADiUS-TWC,7.7,71.0,"11,379",1h 32min,19 January 2014 (USA),Stephanie Soechtig
129,158,Murderball,"$1,531,154",97,"$57,286",8,"Jul 8, 2005",THINKFilm,7.7,87.0,"9,790",1h 28min,5 August 2005 (USA),Henry Alex Rubin
130,159,Finding Vivian Maier,"$1,514,782",97,"$63,600",3,"Mar 28, 2014",IFC Films,7.7,75.0,"12,904",1h 23min,17 April 2014 (Italy),John Maloof
131,162,Why We Fight,"$1,439,972",64,"$53,571",6,"Jan 20, 2006",Sony Pictures Classics,8.0,68.0,"9,710",1h 38min,January 2005 (USA),Eugene Jarecki
132,162,Why We Fight,"$1,439,972",64,"$53,571",6,"Jan 20, 2006",Sony Pictures Classics,7.0,,"1,935",52min,27 May 1942 (USA),Frank Capra
133,163,The Kid Stays in the Picture,"$1,439,232",56,"$89,087",4,"Jul 26, 2002",Focus Features,7.3,75.0,"6,899",1h 33min,16 August 2002 (USA),Nanette Burstein
134,164,No End in Sight,"$1,433,319",117,"$31,533",2,"Jul 27, 2007",Magnolia Pictures,8.2,89.0,"8,105",1h 42min,22 January 2007 (USA),Charles Ferguson
135,165,Microcosmos,"$1,433,210",43,"$35,189",2,"Oct 9, 1996",Miramax,7.9,,"10,591",1h 20min,6 September 1996 (Switzerland),Claude Nuridsany
136,166,Marley,"$1,413,480",73,"$262,004",42,"Apr 20, 2012",Magnolia Pictures,8.0,82.0,"13,046",2h 24min,20 April 2012 (UK),Kevin Macdonald
137,167,Looking for Richard,"$1,408,575",81,"$33,843",2,"Oct 11, 1996",Fox Searchlight Pictures,7.3,,"7,811",1h 51min,11 October 1996 (USA),Al Pacino
138,168,The Celluloid Closet,"$1,400,591",38,"$95,047",9,"Mar 15, 1996",Sony Pictures Classics,7.8,,"6,068",1h 42min,15 March 1996 (USA),Rob Epstein
139,170,The Salt of the Earth,"$1,343,349",80,"$44,900",4,"Mar 27, 2015",Sony Pictures Classics,8.5,83.0,"19,345",1h 50min,27 March 2015 (USA),Juliano Ribeiro Salgado
140,171,Restrepo,"$1,330,894",52,"$35,581",2,"Jun 25, 2010",National Geographic Entertainment,7.5,85.0,"21,790",1h 33min,6 August 2010 (USA),Tim Hetherington
141,172,Chasing Ice,"$1,328,467",53,-,-,"Nov 9, 2012",Submarine Deluxe,7.8,75.0,"8,185",1h 15min,14 December 2012 (UK),Jeff Orlowski
142,173,Hearts of Darkness: A Filmmaker's Apocalypse,"$1,318,449",28,"$42,992",4,"Nov 27, 1991",Triton Pictures,8.1,,"18,690",1h 36min,6 December 1991 (UK),Fax Bahr
143,174,Iris,"$1,310,678",92,"$57,254",6,"Apr 29, 2015",Magnolia Pictures,7.2,80.0,"4,142",1h 19min,29 April 2015 (USA),Albert Maysles
144,175,Anne Frank Remembered,"$1,310,200",31,"$26,697",4,"Feb 23, 1996",Sony Pictures Classics,8.0,,"1,010",1h 57min,8 June 1995 (USA),Jon Blair
145,177,Brother's Keeper,"$1,305,915",15,"$10,758",1,"Sep 9, 1992",-,7.5,93.0,"3,812",1h 44min,9 September 1992 (USA),Joe Berlinger
146,178,The Wolfpack,"$1,301,696",94,"$43,920",2,"Jun 12, 2015",Magnolia Pictures,7.0,75.0,"11,829",1h 30min,10 July 2015 (USA),Crystal Moselle
147,179,Dogtown and Z-Boys,"$1,300,682",70,"$103,355",20,"Apr 26, 2002",Sony Pictures Classics,7.7,76.0,"12,136",1h 31min,10 May 2002 (USA),Stacy Peralta
148,180,No Safe Spaces,"$1,291,514",200,"$45,236",1,"Oct 25, 2019",Atlas Distribution Company,7.7,,"1,161",1h 40min,25 October 2019 (USA),Justin Folk
149,181,Startup.com,"$1,283,356",35,"$16,118",1,"May 11, 2001",Artisan Entertainment,7.0,75.0,"3,255",1h 47min,1 June 2001 (USA),Chris Hegedus
150,182,Maria By Callas,"$1,267,301",149,"$91,915",16,"Nov 2, 2018",Sony Pictures Classics,7.2,71.0,"1,506",1h 59min,2 November 2018 (USA),Tom Volf
151,184,McQueen,"$1,257,275",95,"$98,873",4,"Jul 20, 2018",Bleecker Street Media,7.8,84.0,"6,158",1h 51min,8 June 2018 (UK),Ian Bonhôte
152,185,Baraka,"$1,254,237",15,"$26,812",2,"Sep 24, 1993",The Samuel Goldwyn Company,8.6,,"35,637",1h 36min,19 November 1993 (USA),Ron Fricke
153,187,Gonzo,"$1,252,100",59,"$191,942",26,"Jul 4, 2008",Magnolia Pictures,7.7,73.0,"7,460",2h,18 July 2008 (USA),Alex Gibney
