,Rank_BX,Year,Title,Worldwide Box Office_BX,Domestic Box Office_BX,International Box Office_BX
143,142,2012,Marley,"$5,319,734","$1,413,480","$3,906,254"
144,143,2019,The Biggest Little Farm,"$5,293,304","$4,367,816","$925,488"
145,144,2003,The Fog of War,"$5,233,915","$4,198,566","$1,035,349"
146,145,1999,Siegfried & Roy: Masters of the Impossible,"$5,231,283","$5,231,283",
147,146,2016,Born in the Exile: Sandaime J Soul Brothers no …,"$5,181,032",,"$5,181,032"
148,147,2010,The Wildest Dream,"$5,100,135","$5,100,135",
149,148,2005,Enron: The Smartest Guys in the Room,"$4,907,779","$4,071,700","$836,079"
150,149,2017,Return to the Wolves,"$4,886,088",,"$4,886,088"
151,150,2005,Rize,"$4,857,731","$3,278,611","$1,579,120"
152,151,2004,The Corporation,"$4,843,572","$3,493,516","$1,350,056"
153,152,2017,KEDi,"$4,797,784","$2,834,262","$1,963,522"
154,153,2009,"Food, Inc.","$4,731,944","$4,417,674","$314,270"
155,154,2018,Whitney,"$4,703,709","$3,026,558","$1,677,151"
156,155,1996,When We Were Kings,"$4,647,606","$2,666,118","$1,981,488"
157,156,2016,Where to Invade Next,"$4,604,687","$3,827,261","$777,426"
158,157,2011,Buck,"$4,523,972","$4,036,175","$487,797"
159,158,2005,Grizzly Man,"$4,504,451","$3,178,403","$1,326,048"
160,159,2003,Capturing the Friedmans,"$4,409,434","$3,117,985","$1,291,449"
161,160,2015,He Named Me Malala,"$4,334,216","$2,668,936","$1,665,280"
162,161,2019,Linda Ronstadt: The Sound of My Voice,"$4,252,657","$4,252,657",
163,162,2009,Good Hair,"$4,222,942","$4,157,223","$65,719"
164,163,2008,Beastie Boys,"$4,205,499",,"$4,205,499"
165,164,2002,ESPN's Ultimate X - The Movie,"$4,197,175","$4,197,175",
166,165,2003,The Real Cancun,"$4,188,034","$3,816,594","$371,440"
167,166,2012,Nitro Circus: The Movie 3D,"$4,182,062","$3,377,000","$805,062"
168,167,2017,Visages villages,"$4,015,686","$952,432","$3,063,254"
169,168,2003,Step Into Liquid,"$3,975,542","$3,681,803","$293,739"
170,169,2018,"Geunal, bada","$3,972,816",,"$3,972,816"
171,170,2004,The Story of the Weeping Camel,"$3,966,448","$1,751,698","$2,214,750"
172,171,2017,Django,"$3,847,465","$56,556","$3,790,909"
173,172,2010,Catfish,"$3,798,734","$3,237,343","$561,391"
174,173,2016,Merci Patron!,"$3,770,001",,"$3,770,001"
175,174,1988,Imagine: John Lennon,"$3,753,977","$3,753,977",
176,175,2004,Born Into Brothels: Calcutta's Red Light Kids,"$3,735,969","$3,430,117","$305,852"
177,176,2003,My Architect,"$3,623,958","$2,822,522","$801,436"
178,177,1999,Genghis Blues,"$3,599,174","$3,599,174",
179,178,2014,Finding Vivian Maier,"$3,596,550","$1,509,131","$2,087,419"
180,179,2019,Western Stars,"$3,581,681","$1,581,681","$2,000,000"
181,180,1979,The Glacier Fox,"$3,500,000","$3,500,000",
182,181,2012,Bully,"$3,483,795","$3,483,795",
183,182,2019,Maiden,"$3,456,725","$3,162,490","$294,235"
184,183,2002,Rivers and Tides,"$3,368,550","$2,200,276","$1,168,274"
185,184,2019,Echo in the Canyon,"$3,355,266","$3,355,266",
186,185,1999,Fifty,"$3,328,240","$3,328,240",
187,186,2004,Riding Giants,"$3,292,333","$2,276,368","$1,015,965"
188,187,2012,The Imposter,"$3,232,717","$901,954","$2,330,763"
189,188,2005,The Wild Parrots of Telegraph Hill,"$3,218,709","$3,058,527","$160,182"
190,189,2006,Wordplay,"$3,177,636","$3,121,270","$56,366"
191,190,2000,Ride,"$3,176,650","$3,176,650",
192,191,2016,We are X,"$3,132,486","$45,270","$3,087,216"
193,192,2018,Nothing Like a Dame,"$3,114,190","$889,343","$2,224,847"
194,193,1995,Crumb,"$3,060,660","$3,041,083","$19,577"
195,194,2012,Stories We Tell,"$3,043,717","$1,602,160","$1,441,557"
196,195,1998,Mark Twain's America 3D,"$2,992,106","$2,992,106",
197,196,2010,Joan Rivers: A Piece of Work,"$2,930,687","$2,930,687",
198,197,2018,The Hidden Land: Back To No Man's Land In North…,"$2,890,000",,"$2,890,000"
199,198,2020,V sÃ­ti,"$2,847,088",,"$2,847,088"
200,199,2010,When You're Strange: A Film About The Doors,"$2,843,800","$246,078","$2,597,722"
201,200,1995,Unzipped,"$2,833,010","$2,833,010",
202,,,,,,
203,201,2005,Mondovino,"$2,806,533","$209,618","$2,596,915"
204,202,2017,Maria by Callas,"$2,795,383","$1,264,409","$1,530,974"
205,203,2012,Jiro Dreams of Sushi,"$2,790,035","$2,552,478","$237,557"
206,204,2009,Every Little Step,"$2,769,763","$1,725,141","$1,044,622"
207,205,1998,Freeriders,"$2,750,064","$2,750,064",
208,206,2002,Comedian,"$2,744,253","$2,744,253",
209,207,2020,Das geheime Leben der BÃ¤ume,"$2,737,511",,"$2,737,511"
210,208,2004,Control Room,"$2,724,826","$2,589,616","$135,210"
211,209,1995,The Show,"$2,702,000","$2,702,000",
212,210,2016,Hillsong: Let Hope Rise,"$2,678,525","$2,394,725","$283,800"
213,211,2018,McQueen,"$2,652,935","$1,257,275","$1,395,660"
214,212,2013,The Gatekeepers,"$2,592,308","$2,408,553","$183,755"
215,213,2019,Diego Maradona,"$2,589,090",,"$2,589,090"
216,214,2017,Is Genesis History?,"$2,570,355","$2,570,355",
217,215,2012,The Queen of Versailles,"$2,505,100","$2,401,999","$103,101"
218,216,2015,Iris,"$2,493,802","$1,310,678","$1,183,124"
219,217,2001,The Endurance: Shackleton's Legendary Antarctic…,"$2,452,566","$2,452,566",
220,218,2003,Lost in La Mancha,"$2,440,345","$734,514","$1,705,831"
221,219,2015,Janis: Little Girl Blue,"$2,404,466","$410,465","$1,994,001"
222,220,1999,Wildfire: Feel The Heat,"$2,378,388","$2,378,388",
223,221,2016,My Scientology Movie,"$2,367,220","$22,936","$2,344,284"
224,222,2013,Blackfish,"$2,354,875","$2,073,582","$281,293"
225,223,2015,Meru,"$2,350,820","$2,334,228","$16,592"
226,224,2015,Dior and I,"$2,338,242","$1,028,953","$1,309,289"
227,225,2011,TT3D: Closer to the Edge,"$2,322,286",,"$2,322,286"
228,226,1997,Snowriders 2,"$2,287,639","$2,287,639",
229,227,2003,DysFunkTional Family,"$2,255,000","$2,255,000",
230,228,2011,Bill Cunningham New York,"$2,254,254","$1,510,026","$744,228"
231,229,2017,L'Empereur,"$2,234,915",,"$2,234,915"
232,230,2017,Disneynature: Blue,"$2,231,198",,"$2,231,198"
233,231,2004,Metallica: Some Kind of Monster,"$2,223,844","$1,222,708","$1,001,136"
234,232,2009,Valentino: The Last Emperor,"$2,204,738","$1,755,134","$449,604"
235,233,2015,Roger Waters the Wall,"$2,179,727",,"$2,179,727"
236,234,2007,In the Shadow of the Moon,"$2,175,587","$1,134,358","$1,041,229"
237,235,2015,"Boca Juniors 3D, la pelÃ­cula","$2,171,383",,"$2,171,383"
238,236,1994,The Endless Summer 2,"$2,155,385","$2,155,385",
239,237,2007,Dinosaurs: Giants of Patagonia,"$2,130,465",,"$2,130,465"
240,238,2008,The Meerkats,"$2,100,000",,"$2,100,000"
241,239,1982,It Came From Hollywood,"$2,091,037","$2,091,037",
242,240,2014,Awake: The Life of Yogananda,"$2,083,186","$1,511,750","$571,436"
243,241,2002,Ayurveda: Art of Being,"$2,066,892","$16,892","$2,050,000"
244,242,2015,Jag Ã¤r Ingrid,"$2,056,549","$138,148","$1,918,401"
245,243,1999,Beyond the Mat,"$2,047,570","$2,047,570",
246,244,1996,Snowriders,"$2,035,470","$2,035,470",
247,245,2006,Shut Up and Sing,"$2,000,043","$1,215,045","$784,998"
248,246,2016,Masaryk,"$1,999,760",,"$1,999,760"
249,247,2019,Marianne & Leonard: Words of Love,"$1,998,675","$1,013,820","$984,855"
250,248,2018,AÃ¯lo: Une odyssÃ©e en Laponie,"$1,988,335",,"$1,988,335"
251,249,2014,"20,000 Days on Earth","$1,980,839","$279,558","$1,701,281"
252,250,1995,Endless Winter,"$1,966,454","$1,966,454",
253,251,2015,Kurt Cobain: Montage Of Heck,"$1,960,196","$140,208","$1,819,988"
254,252,2015,Xuan feng jiu ri,"$1,960,000",,"$1,960,000"
255,253,1999,The Source,"$1,956,822","$362,357","$1,594,465"
256,254,2017,Jane,"$1,956,083","$1,723,379","$232,704"
257,255,2006,Why We Fight,"$1,880,863","$1,880,863",
258,256,2016,La Danseuse,"$1,872,314",,"$1,872,314"
259,257,2017,Gongbeom Jadeul,"$1,870,581",,"$1,870,581"
260,258,2006,Who Killed the Electric Car?,"$1,849,392","$1,678,874","$170,518"
261,259,2001,Startup.com,"$1,827,627","$1,280,975","$546,652"
262,260,2018,The Taste of Apple,"$1,799,319",,"$1,799,319"
263,261,2017,Human Flow,"$1,782,002","$527,845","$1,254,157"
264,262,2019,Lev Yashin. Vratar moey mechty,"$1,778,723",,"$1,778,723"
265,263,2005,Murderball,"$1,772,979","$1,531,154","$241,825"
266,264,2019,Chiara Ferragni - Unposted,"$1,770,900",,"$1,770,900"
267,265,2016,Weiner,"$1,751,120","$1,675,196","$75,924"
268,266,2015,So-syeol-po-bi-a,"$1,750,719",,"$1,750,719"
269,267,2014,Tim's Vermeer,"$1,724,484","$1,670,806","$53,678"
270,268,2018,Animal,"$1,722,185",,"$1,722,185"
271,269,2007,Sharkwater,"$1,720,833","$850,920","$869,913"
272,270,2000,The Life and Times of Hank Greenberg,"$1,703,901","$1,703,901",
273,271,2015,Meet the Patels,"$1,700,680","$1,700,680",
274,272,2002,The Kid Stays in the Picture,"$1,699,809","$1,434,436","$265,373"
275,273,2002,Standing in the Shadows of Motown,"$1,693,676","$1,615,732","$77,944"
276,274,2019,Lourdes,"$1,676,475",,"$1,676,475"
277,275,1985,Bring on the Night,"$1,675,689","$1,675,689",
278,276,2019,Fantastic Fungi,"$1,675,322","$1,573,734","$101,588"
279,277,2015,The Wolfpack,"$1,632,774","$1,301,696","$331,078"
280,278,2018,The Dawn Wall,"$1,631,682","$1,037,023","$594,659"
281,279,1994,Vertical Reality,"$1,619,747","$1,619,747",
282,280,2014,National Gallery,"$1,611,769","$253,941","$1,357,828"
283,281,2015,Noma: My Perfect Storm,"$1,611,738","$21,130","$1,590,608"
284,282,2016,Embrace,"$1,611,592","$412,340","$1,199,252"
285,283,2009,It Might Get Loud,"$1,610,163","$1,610,163",
286,284,2002,Dogtown and Z-Boys,"$1,600,566","$1,293,295","$307,271"
287,285,2016,The Music of Strangers: Yo-Yo Ma and the Silk R…,"$1,593,768","$1,169,214","$424,554"
288,286,2017,Walk with me,"$1,593,610","$726,593","$867,017"
289,287,1997,Rhyme & Reason,"$1,591,687","$1,591,687",
290,288,2011,I Am,"$1,591,034","$1,591,034",
291,289,2011,Project Nim,"$1,583,533","$411,184","$1,172,349"
292,290,2019,Four Springs,"$1,561,731",,"$1,561,731"
293,291,2015,That Sugar Film,"$1,551,923","$3,500","$1,548,423"
294,292,2014,Fed Up,"$1,546,228","$1,538,898","$7,330"
295,293,2013,Sur le chemin de l'ecole,"$1,518,983","$7,424","$1,511,559"
296,294,2017,Et les mistrals gagnants,"$1,517,093",,"$1,517,093"
297,295,2009,The Cove,"$1,516,214","$869,730","$646,484"
298,296,2016,The Confession,"$1,512,841",,"$1,512,841"
299,297,2008,Gonzo: The Life and Work of Dr. Hunter S. Thompson,"$1,492,100","$1,252,100","$240,000"
300,298,2016,Chasing Great,"$1,455,980",,"$1,455,980"
301,299,2012,Gerhard Richter Painting,"$1,453,930","$242,646","$1,211,284"
302,300,2007,Joe Strummer: The Future is Unwritten,"$1,453,275","$248,182","$1,205,093"
303,,,,,,
304,301,2007,No End In Sight,"$1,433,319","$1,433,319",
305,302,2016,Oasis: Supersonic,"$1,432,485","$242,867","$1,189,618"
306,303,2010,Restrepo,"$1,430,603","$1,330,894","$99,709"
307,304,2018,Dr. Huang Danian,"$1,420,000",,"$1,420,000"
308,305,2006,Jesus Camp,"$1,394,989","$902,544","$492,445"
309,306,2006,Leonard Cohen: I'm Your Man,"$1,394,254","$1,044,254","$350,000"
310,307,2009,X Games 3D: The Movie,"$1,391,434","$1,391,434",
311,308,2006,The U.S. vs John Lennon,"$1,387,320","$1,109,146","$278,174"
312,309,2019,Bian Hua Zhong De Zhong Guo: Sheng Huo Yin Ni E…,"$1,380,000",,"$1,380,000"
313,310,2015,Walking with Dinosaurs: Prehistoric Planet 3D,"$1,359,866",,"$1,359,866"
314,311,2011,Turtle: The Incredible Journey,"$1,358,840","$391,942","$966,898"
315,312,2020,The Distance Between Me and Me,"$1,341,292",,"$1,341,292"
316,313,2017,Ã voix haute - La force de la parole,"$1,336,298",,"$1,336,298"
317,314,2012,Air Racers 3D,"$1,321,957","$1,309,987","$11,970"
318,315,1996,The Celluloid Closet,"$1,310,167","$1,310,167",
319,316,1999,American Movie: The Making of Northwestern,"$1,299,524","$1,160,426","$139,098"
320,317,2019,J'veux du soleil,"$1,297,191",,"$1,297,191"
321,318,2005,White Noise,"$1,295,735",,"$1,295,735"
322,319,2019,No Safe Spaces,"$1,291,514","$1,291,514",
323,320,2019,Roger Waters Us + Them,"$1,277,179","$594,982","$682,197"
324,321,2012,Meerkats,"$1,267,658","$845,613","$422,045"
325,322,2012,Diana Vreeland: The Eye Has to Travel,"$1,266,454","$1,004,821","$261,633"
326,323,1996,Looking for Richard,"$1,266,417","$1,266,417",
327,324,2018,"Ni juge, ni soumise","$1,262,911",,"$1,262,911"
328,325,2019,Honeyland,"$1,259,507","$815,082","$444,425"
329,326,2008,Encounters at the End of the World,"$1,252,613","$944,933","$307,680"
330,327,2013,Walking the Camino: Six Ways to Santiago,"$1,250,962","$612,717","$638,245"
331,328,2007,L'avocat de la terreur,"$1,247,724","$47,724","$1,200,000"
332,329,2020,Mishima Yukio vs TÃ´dai zenkyÃ´tÃ´: 50 nenme no sh…,"$1,229,264",,"$1,229,264"
333,330,2013,The Act of Killing,"$1,227,316","$486,919","$740,397"
334,331,2013,Inequality for All,"$1,225,769","$1,205,079","$20,690"
335,332,2015,Dark Horse,"$1,221,818","$940,715","$281,103"
336,333,2020,Marche avec les loups,"$1,219,228",,"$1,219,228"
337,334,2016,Vaxxed: From Cover Up to Catastrophe,"$1,215,647","$1,163,265","$52,382"
338,335,2011,"Beats, Rhymes & Life: The Travels of a Tribe Ca…","$1,200,046","$1,200,046",
339,336,2019,Startups,"$1,196,360",,"$1,196,360"
340,337,2005,Ballets Russes,"$1,188,468","$815,848","$372,620"
341,338,2000,Backstage,"$1,184,727","$1,184,727",
342,339,2017,Step,"$1,176,294","$1,146,292","$30,002"
343,340,2016,Dancer,"$1,165,876","$62,578","$1,103,298"
344,341,2004,Tarnation,"$1,162,014","$592,014","$570,000"
345,342,2002,The Human Body,"$1,161,866",,"$1,161,866"
346,343,2019,Hong Kong-Zhuhai-Macao Bridge,"$1,160,000",,"$1,160,000"
347,344,2004,Paper Clips,"$1,153,221","$1,121,744","$31,477"
348,345,2015,RYTMUS sÃ­dliskovÃ½ sen,"$1,151,782",,"$1,151,782"
349,346,2015,Cartel Land,"$1,147,740","$704,352","$443,388"
350,347,2016,Fuocoammare,"$1,144,549","$120,933","$1,023,616"
351,348,2020,Hinatazaka46 Documentary Movie: Debut After 3 Y…,"$1,143,074",,"$1,143,074"
352,349,2009,"Yoo-Hoo, Mrs. Goldberg","$1,134,623","$1,134,623",
353,350,2011,Sholem Aleichem: Laughing in the Darkness,"$1,131,261","$1,131,261",
354,351,2012,Burn,"$1,109,276","$1,109,276",
355,352,2018,"Santiago, Italia","$1,106,813",,"$1,106,813"
356,353,2011,L'Amour Fou,"$1,086,580","$312,494","$774,086"
357,354,2009,Anvil! The Story of Anvil,"$1,085,868","$667,911","$417,957"
358,355,2016,The First Monday in May,"$1,080,528","$527,474","$553,054"
359,356,2019,2040,"$1,071,235",,"$1,071,235"
360,357,2011,Page One: Inside the New York Times,"$1,067,028","$1,067,028",
361,358,2018,Coldplay: A Head Full Of Dreams,"$1,063,076",,"$1,063,076"
362,359,2007,11th Hour,"$1,048,892","$703,464","$345,428"
363,360,2012,Hecho en MÃ©xico,"$1,042,673","$151,133","$891,540"
364,361,2016,"Lo And Behold, Reveries Of The Connected World","$1,041,280","$594,912","$446,368"
365,362,2017,Bombshell: The Hedy Lamarr Story,"$1,034,817","$820,300","$214,517"
366,363,2009,Dinosaurs Alive!,"$1,031,878",,"$1,031,878"
367,364,2000,The Eyes of Tammy Faye,"$1,029,591","$1,029,591",
368,365,2019,For Sama,"$1,029,287","$43,796","$985,491"
369,366,2007,Arctic Tale,"$1,027,622","$833,532","$194,090"
370,367,2016,Tickled,"$1,025,945","$613,956","$411,989"
371,368,2020,The Blue Defensive Line,"$1,020,000",,"$1,020,000"
372,369,2015,Sherpa,"$1,002,602",,"$1,002,602"
373,370,2004,Natural Disasters: Forces of Nature,"$999,457",,"$999,457"
374,371,2016,Les pÃ©pites,"$998,059",,"$998,059"
375,372,2017,Mountain,"$997,653","$364,429","$633,224"
